Trial,Cue,Stimulus,Temperature,Prediction,Quality,Rating,PredictionRT,QualityRT,RatingRT,StimulusDetection,Participant,Session
-0,1,1,47.9437214019359,NaN,1,84.375,NaN,1.02666860003956,1.73085299995728,1,1,1
-0,0,0,45.0548137543141,1,0,28.6458333333333,2.15701560000889,0.636120199924335,1.49790899991058,1,1,1
-0,1,1,47.9437214019359,1,1,72.1354166666667,1.35469780000858,1.12869100016542,1.19762809993699,1,1,1
-0,0,0,45.0548137543141,0,0,40.8854166666667,0.74968699994497,0.543439199915156,1.99843849986792,1,1,1
-0,1,1,47.9437214019359,1,1,79.9479166666667,0.963441499974579,0.586089000105858,1.53064480004832,1,1,1
-0,0,0,45.0548137543141,0,0,30.46875,0.678141899872571,0.82838960015215,1.61394560011104,1,1,1
-0,1,0,45.0548137543141,1,0,54.4270833333333,1.0600005001761,0.926224499940872,1.94768039998598,1,1,1
-0,1,0,45.0548137543141,1,0,47.1354166666667,2.14881170005538,1.36171640013345,2.69480880000629,1,1,1
-0,0,1,47.9437214019359,0,1,75.78125,1.75450510019436,0.550869799917564,1.46448360010982,1,1,1
0,0,1,47.9437214019359,0,1,64.5833333333333,3.2185123001691,2.19598079985008,2.39764519990422,1,1,1
1,1,0,45.0548137543141,1,0,44.53125,1.72588769998401,0.826448999810964,2.09737329999916,1,1,1
2,1,0,45.0548137543141,0,0,32.5520833333333,2.41423350013793,0.599051899975166,1.46421030000784,1,1,1
3,1,0,45.0548137543141,0,0,27.34375,1.32639469997957,0.575139799853787,1.6310004000552,1,1,1
4,0,0,45.0548137543141,1,0,25.78125,1.0562782001216,0.647959899855778,1.21348519995809,1,1,1
5,1,1,47.9437214019359,0,1,50.78125,1.0786576999817,0.895397800020874,1.11364379990846,1,1,1
6,1,0,45.0548137543141,1,0,28.125,1.79745339998044,1.15184550010599,1.8473837999627,1,1,1
7,0,1,47.9437214019359,1,1,71.6145833333333,1.77090819994919,0.730928800068796,1.26424279995263,1,1,1
8,0,1,47.9437214019359,1,1,75.5208333333333,0.708131100051105,0.81007849983871,1.38111539999954,1,1,1
9,0,1,47.9437214019359,1,1,60.9375,0.980095600010827,0.475876699900255,1.5476776000578,1,1,1
10,0,1,47.9437214019359,1,1,81.25,0.968678699806333,0.939812300028279,1.38129170006141,1,1,1
11,0,0,45.0548137543141,1,0,35.15625,0.881937900092453,1.07684720004909,1.28099859994836,1,1,1
12,1,1,47.9437214019359,0,1,73.6979166666667,1.21478229993954,0.785664099967107,1.63064430002123,1,1,1
13,1,1,47.9437214019359,0,1,70.5729166666667,1.6534365999978,1.01267530000769,1.71167459990829,1,1,1
14,0,1,47.9437214019359,1,1,66.6666666666667,1.73571050004102,0.434383100131527,1.88078999985009,1,1,1
15,0,0,45.0548137543141,1,0,34.375,0.687221399974078,0.887235000031069,1.58066340000369,1,1,1
16,0,0,45.0548137543141,1,0,32.8125,1.08295120019466,0.617373500019312,1.14801410003565,1,1,1
17,1,1,47.9437214019359,0,1,67.96875,1.88308839988895,0.767611599992961,1.36435419996269,1,1,1
18,1,1,47.9437214019359,0,1,58.59375,1.14647020003758,0.823699100175872,1.79740509996191,1,1,1
19,0,0,45.0548137543141,1,0,39.84375,1.66390220005997,0.429669399978593,1.36396949994378,1,1,1
20,1,0,45.0548137543141,0,0,43.2291666666667,1.94567590020597,0.702601800207049,1.81402559997514,1,1,1
21,0,1,47.9437214019359,1,1,63.5416666666667,0.976784199941903,0.425728700123727,0.781216599978507,1,1,1
22,0,1,47.9437214019359,1,1,68.2291666666667,0.743980000028387,0.436046400107443,1.09715300006792,1,1,1
23,1,0,45.0548137543141,0,0,29.4270833333333,0.918954699998721,1.36481060017832,1.43074580002576,1,1,1
24,0,0,45.0548137543141,1,0,26.5625,0.750809200108051,0.615540099795908,1.01449389988557,1,1,1
25,0,1,47.9437214019359,1,1,70.5729166666667,0.735276099992916,0.655123299919069,1.06448880000971,1,1,1
26,0,1,47.9437214019359,1,1,58.0729166666667,0.574949099915102,0.384186499984935,1.19777160021476,1,1,1
27,0,1,47.9437214019359,1,1,71.6145833333333,0.877590799937025,0.556715700076893,0.931341500021517,1,1,1
28,1,0,45.0548137543141,0,0,45.0520833333333,0.834524599835277,1.36967589985579,1.18100989982486,1,1,1
29,1,0,45.0548137543141,0,0,37.7604166666667,1.92489339993335,0.965947600081563,1.78068880015053,1,1,1
30,0,1,47.9437214019359,1,1,54.1666666666667,0.745626900112256,0.881336600054055,1.24789789994247,1,1,1
31,0,1,47.9437214019359,1,1,65.8854166666667,0.584380600135773,0.480180599959567,1.59785230015405,1,1,1
32,1,0,45.0548137543141,0,0,21.09375,0.622516199946404,1.16553039988503,1.36466830014251,1,1,1
33,1,1,47.9437214019359,0,1,59.375,1.01921879989095,0.607655200175941,1.41456470009871,1,1,1
34,0,1,47.9437214019359,1,1,83.59375,0.823700899956748,0.552964500151575,1.43015179992653,1,1,1
35,1,0,45.0548137543141,0,0,21.875,0.879843300208449,0.506307600066066,1.34784369985573,1,1,1
36,0,1,47.9437214019359,1,1,66.40625,0.758113899966702,0.35198670020327,0.864594700047746,1,1,1
37,1,0,45.0548137543141,0,0,23.9583333333333,0.605002199998125,1.09506720001809,1.34846809995361,1,1,1
38,1,0,45.0548137543141,0,0,18.75,0.588004499906674,1.51937499991618,0.914141899906099,1,1,1
39,0,1,47.9437214019359,1,1,56.5104166666667,0.702633099863306,0.435149599798024,1.38099829992279,1,1,1
40,1,1,47.9437214019359,0,1,56.7708333333333,0.809534500120208,0.336466799955815,1.58042499981821,1,1,1
41,0,1,47.9437214019359,1,1,84.375,0.91326790000312,0.734575600130484,1.06343739992008,1,1,1
42,0,1,47.9437214019359,1,1,89.5833333333333,1.14336739992723,0.584697099868208,1.43138060020283,1,1,1
43,1,0,45.0548137543141,0,0,14.5833333333333,0.633519599912688,0.550119000021368,1.41440919996239,1,1,1
44,1,0,45.0548137543141,0,0,31.5104166666667,0.657371499808505,0.491271800128743,1.26478160009719,1,1,1
45,1,0,45.0548137543141,0,0,40.1041666666667,0.575284000020474,0.340001800097525,1.39768470008858,1,1,1
46,1,0,45.0548137543141,0,0,41.40625,0.718479200033471,0.584300100104883,1.73122800001875,1,1,1
47,0,1,47.9437214019359,1,1,70.8333333333333,0.596965200034901,0.573044299846515,1.44731930014677,1,1,1
48,1,1,47.9437214019359,0,1,56.25,0.710488099837676,0.568657899973914,1.43061270006001,1,1,1
49,0,0,45.0548137543141,1,0,35.9375,0.632700000191107,0.534398200223222,1.86434919992462,1,1,1
50,1,0,45.0548137543141,0,0,32.5520833333333,0.873661800054833,0.476038199849427,1.91481300001033,1,1,1
51,0,1,47.9437214019359,1,1,81.7708333333333,0.640379499876872,0.33623840007931,1.39777750009671,1,1,1
52,0,1,47.9437214019359,1,1,82.03125,0.634936900110915,0.456536900019273,1.46411509998143,1,1,1
53,1,1,47.9437214019359,0,1,73.9583333333333,0.566137399990112,0.402815000154078,1.2646359000355,1,1,1
54,1,0,45.0548137543141,0,0,33.8541666666667,0.748847700189799,1.2104473002255,2.01372430007905,1,1,1
55,1,0,45.0548137543141,0,0,22.9166666666667,0.610609600087628,0.611176799982786,1.96446060016751,1,1,1
56,0,1,47.9437214019359,1,1,66.1458333333333,0.83515219995752,0.56295460020192,1.09801859990694,1,1,1
